(A1) CITY,(A2) PROVINCE,(B3) GENDER,(B4) AGE,(B5) RELIGION,(B6) ETHNIC,(B7) EDUCATION LEVEL,(B8) LIVED IN URBAN AREA (YEARS),(B9) OCCUPATION,(B10) SOCIAL CLAS,(B11) HOUSEHOLD MEMBER,(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR),(C13) TIME OF INCOME RECEIPT,(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR),(C15) % MONTHLY EXPENDITURE FOR FOOD,(D16) HEALTH FACTOR,(D17) PRICE FACTOR),(E18) RELIGIOUS VALUE IN TYPE OF FOOD,(E19) RELIGIOUS VALUE IN EATING PLACES,(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN,(E21) CUSTOM VALUE IN TYPE OF FOOD,(E22) CUSTOM VALUE IN EATING PLACES,(E23) CUSTOM VALUE IN CONSUMPTION PATTERN,(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES,(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES,(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES,(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES,(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD,age,urban_years,education_score,social_class_score,household_member,income_million_idr,income_receipt_score,expenditure_million_idr,food_expenditure_pct,income_per_capita,expenditure_per_capita,food_spending_million_idr,non_food_spending_million_idr,saving_gap_million_idr,urban_life_ratio,PC1,PC2,cluster
Denpasar,Bali,Female,31,Hindu,Bali,Senior High School,31,Private Employees,Middle Class,5,06:07:00,Weekly,06:09:00,36,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,31,31,3,2,5,6.7,2,6.9,36,1.34,1.3800000000000001,2.484,4.416,-0.20000000000000018,1.0,0.3005967271735295,-0.018910851796296452,1
Denpasar,Bali,Male,41,Protestant,Bali,Diploma,21,Private Employees,Middle Class,6,05:08:00,Weekly,06:00:00,42,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,41,21,4,2,6,5.8,2,6.0,42,0.9666666666666667,1.0,2.52,3.48,-0.20000000000000018,0.5121951219512195,-0.1272944646082072,0.18604118212808388,1
Denpasar,Bali,Male,52,Islam,Java,Master and doctoral degree,52,Private Employees,Lower Class,6,02:03:00,Daily,02:05:00,73,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,52,52,6,1,6,2.3,1,2.5,73,0.3833333333333333,0.4166666666666667,1.825,0.675,-0.20000000000000018,1.0,-2.6114927853609977,-0.05688168341763237,2
Denpasar,Bali,Female,51,Islam,Minang,Bachelor degree,51,Government Employees,Middle Class,7,04:09:00,Weekly,05:01:00,41,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,51,51,5,2,7,4.9,2,5.1,41,0.7000000000000001,0.7285714285714285,2.0909999999999997,3.009,-0.1999999999999993,1.0,-0.35495087220933363,0.36330295139616314,1
Denpasar,Bali,Female,34,Islam,Java,Senior High School,34,Government Employees,Middle Class,5,05:09:00,Weekly,06:01:00,33,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,34,34,3,2,5,5.9,2,6.1,33,1.1800000000000002,1.22,2.013,4.087,-0.1999999999999993,1.0,0.158623744217474,0.1303041331329531,1
Denpasar,Bali,Female,51,Catholic,Other,Junior High School,11,Enterpreneur,Upper Class,6,11:04:00,Monthly,11:06:00,19,Strongly Agree,Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,51,11,2,3,6,11.4,3,11.6,19,1.9000000000000001,1.9333333333333333,2.204,9.395999999999999,-0.1999999999999993,0.21568627450980393,2.7260073152581468,0.03776918124623977,3
Denpasar,Bali,Female,39,Islam,Java,Diploma,39,Enterpreneur,Lower Class,6,03:00:00,Daily,03:02:00,69,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,39,39,4,1,6,3.0,1,3.2,69,0.5,0.5333333333333333,2.208,0.992,-0.20000000000000018,1.0,-2.297758504532086,-0.21365165285186785,2
Denpasar,Bali,Female,42,Islam,Java,Diploma,42,Enterpreneur,Upper Class,6,15:07:00,Monthly,15:09:00,23,Strongly Agree,Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly Agree,Disagree,Disagree,42,42,4,3,6,15.7,3,15.9,23,2.6166666666666667,2.65,3.657,12.243,-0.20000000000000107,1.0,3.83594734981693,-0.8122248568852835,3
Denpasar,Bali,Female,52,Islam,Java,Diploma,22,Private Employees,Upper Class,6,13:02:00,Monthly,13:04:00,25,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,52,22,4,3,6,13.2,3,13.4,25,2.1999999999999997,2.2333333333333334,3.35,10.05,-0.20000000000000107,0.4230769230769231,3.0669002537857653,-0.3009313489148892,3
Denpasar,Bali,Female,51,Protestant,Bali,Senior High School,30,Private Employees,Lower Class,5,03:04:00,Daily,03:06:00,58,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,51,30,3,1,5,3.4,1,3.6,58,0.6799999999999999,0.72,2.088,1.512,-0.20000000000000018,0.5882352941176471,-1.8692098984458259,-0.33770604648845864,2
